,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
1213,14,            17,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,14,16,October 04 2019
1214,15,            16,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,15,7,October 04 2019
1215,16,            14,        ,BOTH,HEADIE ONE,RELENTLESS,13,7,October 04 2019
1216,17,            15,        ,POST MALONE,SAM FELDT FT RANI,SPINNIN',15,13,October 04 2019
1217,18,            12,        ,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY,POLYDOR/RCA/REPUBLIC RECORDS,2,3,October 04 2019
1218,19,            24,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,40,October 04 2019
1219,20,            19,        ,PROFESSOR X,DAVE,WARNER RECORDS,19,3,October 04 2019
1220,21,            New,        ,PLAYING FOR KEEPS,D-BLOCK EUROPE FT DAVE,D-BLOCK EUROPE,21,1,October 04 2019
1221,22,            21,        ,PANINI,LIL NAS X,LIL NAS X,21,15,October 04 2019
1222,23,            18,        ,GOODBYES,POST MALONE FT YOUNG THUG,REPUBLIC RECORDS,5,13,October 04 2019
1223,24,            20,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,15,October 04 2019
1224,25,            35,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,21,4,October 04 2019
1225,26,            23,        ,GOOD AS HELL,LIZZO,ATLANTIC,23,10,October 04 2019
1226,27,            30,        ,MOTIVATION,NORMANI,KEEP COOL,27,7,October 04 2019
1227,28,            25,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,14,October 04 2019
1228,29,            31,        ,TRUTH HURTS,LIZZO,ATLANTIC,29,23,October 04 2019
1229,30,            28,        ,NOOKIE,D-BLOCK EUROPE FT LIL BABY,D-BLOCK EUROPE,16,3,October 04 2019
1230,31,            27,        ,SUNFLOWER,POST MALONE FT SWAE LEE,REPUBLIC RECORDS,3,48,October 04 2019
1231,32,            26,        ,HARDER,JAX JONES & BEBE REXHA,POLYDOR,23,12,October 04 2019
1232,33,            37,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,33,2,October 04 2019
1233,34,            29,        ,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE,POLYDOR/REPUBLIC RECORDS,4,9,October 04 2019
1234,35,            38,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,35,4,October 04 2019
1235,36,            33,        ,F**K I'M LONELY,LAUV & ANNE-MARIE,LAUV,32,9,October 04 2019
1236,37,            58,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,37,3,October 04 2019
1237,38,            32,        ,LALALA,Y2K & BBNOS,COLUMBIA,32,14,October 04 2019
1238,39,            22,        ,WILEY FLOW,STORMZY,ATLANTIC/MERKY,22,3,October 04 2019
1239,40,            New,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,40,1,October 04 2019
1240,41,            43,        ,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,EMI,4,22,October 04 2019
1241,42,            36,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,28,October 04 2019
1242,43,            New,        ,OUTSIDE,D-BLOCK EUROPE,D-BLOCK EUROPE,43,1,October 04 2019
1243,44,            New,        ,WRITING ON THE WALL,FRENCH MONTANA/MALONE/CARDI B,BAD BOY/EPIC,44,1,October 04 2019
1244,45,            40,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,4,October 04 2019
1245,46,            46,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,27,October 04 2019
1246,47,            39,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,30,October 04 2019
1247,48,            41,        ,SO HIGH,MIST FT FREDO,SINCE 93/WARNER RECORDS,7,13,October 04 2019
1248,49,            57,        ,GRAVEYARD,HALSEY,VIRGIN,49,3,October 04 2019
1249,50,            47,        ,SLIDE AWAY,MILEY CYRUS,RCA,40,7,October 04 2019
1250,51,            42,        ,LOVER,TAYLOR SWIFT,EMI,14,7,October 04 2019
1251,52,            45,        ,WILL WE TALK,SAM FENDER,POLYDOR,43,7,October 04 2019
1252,53,            New,        ,2 ON 2,TION WAYNE & JAY1,EMI,53,1,October 04 2019
1253,54,            53,        ,SIMMER,MAHALIA FT BURNA BOY,ASYLUM,46,10,October 04 2019
1254,55,            New,        ,2 CUPS,LIZZY/TORY LANEZ/FREDO/POPCAAN,ISLAND,55,1,October 04 2019
1255,56,            44,        ,4AM IN COVENTRY,JAY1,PARLOPHONE,44,2,October 04 2019
1256,57,            54,        ,VOSSI BOP,STORMZY,MERKY,1,23,October 04 2019
1257,58,            52,        ,HYPERSONIC MISSILES,SAM FENDER,POLYDOR,48,10,October 04 2019
1258,59,            51,        ,WISH YOU WELL,SIGALA & BECKY HILL,MINISTRY OF SOUND,8,19,October 04 2019
1259,60,            48,        ,THE LAST TIME,SCRIPT,COLUMBIA,48,2,October 04 2019
1260,61,            66,        ,MEMORIES,MAROON 5,INTERSCOPE,61,2,October 04 2019
1261,62,            49,        ,BEHIND BARZ,DRAKE,WARNER RECORDS,49,3,October 04 2019
1262,63,            73,        ,LOVE ME AGAIN,RAYE,POLYDOR,59,5,October 04 2019
1263,64,            59,        ,MAD LOVE,MABEL,POLYDOR,8,17,October 04 2019
1264,65,            56,        ,XTC,SOLARDO & ELI BROWN,MINISTRY OF SOUND,48,9,October 04 2019
1265,66,            67,        ,LOVE ME,LIL TECCA,LIL TECCA,66,5,October 04 2019
1266,67,            62,        ,NO GUIDANCE,CHRIS BROWN FT DRAKE,CHRIS BROWN ENTERTAINMENT/RCA,6,17,October 04 2019
1267,68,            70,        ,WE GOT THAT COOL,YVES V FT AFROJACK & ICONA POP,SPINNIN',68,4,October 04 2019
1268,69,            50,        ,ONE OF US,LIAM GALLAGHER,WARNER RECORDS,50,3,October 04 2019
1269,70,            60,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,16,October 04 2019
1270,71,            68,        ,SHOTGUN,GEORGE EZRA,COLUMBIA,1,80,October 04 2019
1271,72,            65,        ,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,POLYDOR,2,29,October 04 2019
1272,73,            74,        ,SHALLOW,LADY GAGA & BRADLEY COOPER,INTERSCOPE,1,53,October 04 2019
1273,74,            New,        ,SKRR,YXNG BANE FT OFB,DISTURBING LONDON/PARLOPHONE,74,1,October 04 2019
1274,75,            New,        ,223'S,YNW MELLY FT 9LOKKNINE,300 ENTERTAINMENT,75,1,October 04 2019
1275,76,            95,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,76,2,October 04 2019
1276,77,            75,        ,KEISHA & BECKY,RUSS & TION WAYNE,VIRGIN,7,28,October 04 2019
1277,78,            71,        ,RIGHT BACK,KHALID/A BOOGIE WIT DA HOODIE,RIGHT HAND MUSIC,71,7,October 04 2019
1278,79,            69,        ,RITUAL,TIESTO/JONAS BLUE/RITA ORA,VIRGIN,24,18,October 04 2019
1279,80,            64,        ,FREDDY,FREDO,WARNER RECORDS,53,3,October 04 2019
1280,81,            76,        ,HOT GIRL SUMMER,MEGAN THEE STALLION/MINAJ,300 ENTERTAINMENT,40,8,October 04 2019
1281,82,            New,        ,CHICKEN NOODLE SOUP,J-HOPE FT BECKY G,BIGHIT ENTERTAINMENT,82,1,October 04 2019
1282,83,            Re,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,83,2,October 04 2019
1283,84,            87,        ,SWEET BUT PSYCHO,AVA MAX,ATLANTIC,1,50,October 04 2019
1284,85,            72,        ,THE BORDERS,SAM FENDER,POLYDOR,59,4,October 04 2019
1285,86,            63,        ,ONCE,LIAM GALLAGHER,WARNER RECORDS,49,3,October 04 2019
1286,87,            78,        ,THE MAN,TAYLOR SWIFT,EMI,21,5,October 04 2019
1287,88,            81,        ,GIANT,CALVIN HARRIS & RAG'N'BONE MAN,COLUMBIA,2,38,October 04 2019
1288,89,            85,        ,JUST YOU AND I,TOM WALKER,RELENTLESS,3,38,October 04 2019
1289,90,            88,        ,DON'T CALL ME UP,MABEL,POLYDOR,3,37,October 04 2019
1290,91,            New,        ,LONELY,DIPLO & JONAS BROTHERS,COLUMBIA,91,1,October 04 2019
1291,92,            92,        ,BOHEMIAN RHAPSODY,QUEEN,ISLAND,1,47,October 04 2019
1292,93,            98,        ,PLAYING GAMES,SUMMER WALKER,INTERSCOPE,93,2,October 04 2019
1293,94,            86,        ,TOAST,KOFFEE,COLUMBIA,70,14,October 04 2019
1294,95,            83,        ,YOU NEED TO CALM DOWN,TAYLOR SWIFT,EMI,5,15,October 04 2019
1295,96,            79,        ,DOIN' TIME,LANA DEL REY,POLYDOR,42,6,October 04 2019
1296,97,            New,        ,INTRO,DABABY,INTERSCOPE,97,1,October 04 2019
1297,98,            90,        ,MONEY IN THE GRAVE,DRAKE FT RICK ROSS,CASH MONEY/REPUBLIC RECORDS,13,16,October 04 2019
1298,99,            93,        ,F.N,LIL TJAY,COLUMBIA,79,6,October 04 2019
1299,100,            94,        ,THIAGO SILVA,DAVE & AJ TRACEY,TROPICS,36,13,September 27 2019
1300,1,            1,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,9,September 27 2019
1301,2,            3,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,8,September 27 2019
1302,3,            4,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,13,September 27 2019
1303,4,            5,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,4,30,September 27 2019
1304,5,            11,        ,RIDE IT,REGARD,MINISTRY OF SOUND,5,6,September 27 2019
1305,6,            6,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,12,September 27 2019
1306,7,            14,        ,DANCE MONKEY,TONES & I,PARLOPHONE,7,8,September 27 2019
1307,8,            7,        ,3 NIGHTS,DOMINIC FIKE,COLUMBIA,3,21,September 27 2019
1308,9,            8,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,5,4,September 27 2019
1309,10,            10,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,16,September 27 2019
1310,11,            9,        ,RANSOM,LIL TECCA,GALACTIC,7,15,September 27 2019
1311,12,            2,        ,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY,POLYDOR/RCA/REPUBLIC RECORDS,2,2,September 27 2019
1312,13,            12,        ,HOW DO YOU SLEEP,SAM SMITH,CAPITOL,7,10,September 27 2019
1313,14,            13,        ,BOTH,HEADIE ONE,RELENTLESS,13,6,September 27 2019
1314,15,            17,        ,POST MALONE,SAM FELDT FT RANI,SPINNIN',15,12,September 27 2019
1315,16,            18,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,16,6,September 27 2019
1316,17,            20,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,17,15,September 27 2019
1317,18,            15,        ,GOODBYES,POST MALONE FT YOUNG THUG,REPUBLIC RECORDS,5,12,September 27 2019
1318,19,            24,        ,PROFESSOR X,DAVE,WARNER RECORDS,19,2,September 27 2019
1319,20,            19,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,14,September 27 2019
1320,21,            23,        ,PANINI,LIL NAS X,LIL NAS X,21,14,September 27 2019
1321,22,            37,        ,WILEY FLOW,STORMZY,ATLANTIC/MERKY,22,2,September 27 2019
1322,23,            58,        ,GOOD AS HELL,LIZZO,ATLANTIC,23,9,September 27 2019
1323,24,            28,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,39,September 27 2019
1324,25,            27,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,13,September 27 2019
1325,26,            26,        ,HARDER,JAX JONES & BEBE REXHA,POLYDOR,23,11,September 27 2019
1326,27,            Re,        ,SUNFLOWER,POST MALONE FT SWAE LEE,REPUBLIC RECORDS,3,47,September 27 2019
1327,28,            16,        ,NOOKIE,D-BLOCK EUROPE FT LIL BABY,D-BLOCK EUROPE,16,2,September 27 2019
1328,29,            25,        ,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE,POLYDOR/REPUBLIC RECORDS,4,8,September 27 2019
1329,30,            32,        ,MOTIVATION,NORMANI,KEEP COOL,30,6,September 27 2019
1330,31,            30,        ,TRUTH HURTS,LIZZO,ATLANTIC,29,22,September 27 2019
1331,32,            40,        ,LALALA,Y2K & BBNOS,COLUMBIA,32,13,September 27 2019
1332,33,            34,        ,F**K I'M LONELY,LAUV & ANNE-MARIE,LAUV,32,8,September 27 2019
1333,34,            33,        ,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,ASYLUM/DEF JAM,1,19,September 27 2019
1334,35,            35,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,21,3,September 27 2019
1335,36,            38,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,27,September 27 2019
1336,37,            New,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,37,1,September 27 2019
1337,38,            39,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,38,3,September 27 2019
1338,39,            49,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,29,September 27 2019
1339,40,            31,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,3,September 27 2019
1340,41,            44,        ,SO HIGH,MIST FT FREDO,SINCE 93/WARNER RECORDS,7,12,September 27 2019
1341,42,            42,        ,LOVER,TAYLOR SWIFT,EMI,14,6,September 27 2019
1342,43,            46,        ,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,EMI,4,21,September 27 2019
1343,44,            New,        ,4AM IN COVENTRY,JAY1,PARLOPHONE,44,1,September 27 2019
1344,45,            43,        ,WILL WE TALK,SAM FENDER,POLYDOR,43,6,September 27 2019
1345,46,            41,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,26,September 27 2019
1346,47,            47,        ,SLIDE AWAY,MILEY CYRUS,RCA,40,6,September 27 2019
1347,48,            New,        ,THE LAST TIME,SCRIPT,COLUMBIA,48,1,September 27 2019
1348,49,            51,        ,BEHIND BARZ,DRAKE,WARNER RECORDS,49,2,September 27 2019
1349,50,            Re,        ,ONE OF US,LIAM GALLAGHER,WARNER RECORDS,50,2,September 27 2019
1350,51,            50,        ,WISH YOU WELL,SIGALA & BECKY HILL,MINISTRY OF SOUND,8,18,September 27 2019
1351,52,            48,        ,HYPERSONIC MISSILES,SAM FENDER,POLYDOR,48,9,September 27 2019
1352,53,            54,        ,SIMMER,MAHALIA FT BURNA BOY,ASYLUM,46,9,September 27 2019
1353,54,            57,        ,VOSSI BOP,STORMZY,MERKY,1,22,September 27 2019
1354,55,            55,        ,I COULD GET USED TO THIS,BECKY HILL & WEISS,POLYDOR,45,21,September 27 2019
1355,56,            60,        ,XTC,SOLARDO & ELI BROWN,MINISTRY OF SOUND,48,8,September 27 2019
1356,57,            52,        ,GRAVEYARD,HALSEY,VIRGIN,52,2,September 27 2019
1357,58,            99,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,58,2,September 27 2019
1358,59,            21,        ,MAD LOVE,MABEL,POLYDOR,8,16,September 27 2019
1359,60,            29,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,15,September 27 2019
1360,61,            New,        ,NOW THAT I'VE FOUND YOU,LIAM GALLAGHER,WARNER RECORDS,61,1,September 27 2019
1361,62,            61,        ,NO GUIDANCE,CHRIS BROWN FT DRAKE,CHRIS BROWN ENTERTAINMENT/RCA,6,16,September 27 2019
1362,63,            Re,        ,ONCE,LIAM GALLAGHER,WARNER RECORDS,49,2,September 27 2019
1363,64,            53,        ,FREDDY,FREDO,WARNER RECORDS,53,2,September 27 2019
1364,65,            65,        ,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,POLYDOR,2,28,September 27 2019
1365,66,            New,        ,MEMORIES,MAROON 5,INTERSCOPE,66,1,September 27 2019
1366,67,            72,        ,LOVE ME,LIL TECCA,LIL TECCA,67,4,September 27 2019
1367,68,            66,        ,SHOTGUN,GEORGE EZRA,COLUMBIA,1,79,September 27 2019
1368,69,            36,        ,RITUAL,TIESTO/JONAS BLUE/RITA ORA,VIRGIN,24,17,September 27 2019
1369,70,            76,        ,WE GOT THAT COOL,YVES V FT AFROJACK & ICONA POP,SPINNIN',70,3,September 27 2019
1370,71,            96,        ,RIGHT BACK,KHALID/A BOOGIE WIT DA HOODIE,RIGHT HAND MUSIC,71,6,September 27 2019
1371,72,            59,        ,THE BORDERS,SAM FENDER,POLYDOR,59,3,September 27 2019
1372,73,            68,        ,LOVE ME AGAIN,RAYE,POLYDOR,59,4,September 27 2019
1373,74,            69,        ,SHALLOW,LADY GAGA & BRADLEY COOPER,INTERSCOPE,1,52,September 27 2019
1374,75,            71,        ,KEISHA & BECKY,RUSS & TION WAYNE,VIRGIN,7,27,September 27 2019
1375,76,            67,        ,HOT GIRL SUMMER,MEGAN THEE STALLION/MINAJ,300 ENTERTAINMENT,40,7,September 27 2019
1376,77,            63,        ,ELASTIC,AJ TRACEY,WARNER RECORDS,63,2,September 27 2019
1377,78,            Re,        ,THE MAN,TAYLOR SWIFT,EMI,21,4,September 27 2019
1378,79,            64,        ,DOIN' TIME,LANA DEL REY,POLYDOR,42,5,September 27 2019
1379,80,            70,        ,TEETH,5 SECONDS OF SUMMER,INTERSCOPE,46,5,September 27 2019
1380,81,            74,        ,GIANT,CALVIN HARRIS & RAG'N'BONE MAN,COLUMBIA,2,37,September 27 2019
1381,82,            83,        ,BRUISES,LEWIS CAPALDI,EMI,16,17,September 27 2019
1382,83,            45,        ,YOU NEED TO CALM DOWN,TAYLOR SWIFT,EMI,5,14,September 27 2019
1383,84,            New,        ,STACK IT UP,LIAM PAYNE/A BOOGIE WIT DA,CAPITOL,84,1,September 27 2019
1384,85,            78,        ,JUST YOU AND I,TOM WALKER,RELENTLESS,3,37,September 27 2019
1385,86,            86,        ,TOAST,KOFFEE,COLUMBIA,70,13,September 27 2019
1386,87,            85,        ,SWEET BUT PSYCHO,AVA MAX,ATLANTIC,1,49,September 27 2019
1387,88,            80,        ,DON'T CALL ME UP,MABEL,POLYDOR,3,36,September 27 2019
1388,89,            82,        ,TAKEAWAY,CHAINSMOKERS/ILLENIUM/STELLA,DISRUPTOR,64,9,September 27 2019
1389,90,            88,        ,MONEY IN THE GRAVE,DRAKE FT RICK ROSS,CASH MONEY/REPUBLIC RECORDS,13,15,September 27 2019
1390,91,            73,        ,SHAMELESS,CAMILA CABELLO,EPIC/SYCO MUSIC,50,3,September 27 2019
1391,92,            Re,        ,BOHEMIAN RHAPSODY,QUEEN,ISLAND,1,46,September 27 2019
1392,93,            97,        ,F.N,LIL TJAY,COLUMBIA,79,5,September 27 2019
1393,94,            Re,        ,THIAGO SILVA,DAVE & AJ TRACEY,TROPICS,36,12,September 27 2019
1394,95,            New,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,95,1,September 27 2019
1395,96,            89,        ,HOME P*SSY,D-BLOCK EUROPE,D BLOCK EUROPE,20,12,September 27 2019
1396,97,            93,        ,WON'T BE LATE,SWAE LEE FT DRAKE,INTERSCOPE,50,6,September 27 2019
1397,98,            New,        ,PLAYING GAMES,SUMMER WALKER,INTERSCOPE,98,1,September 27 2019
1398,99,            81,        ,GOT IT ALL,PROFESSOR GREEN/ALICE CHATER,GANG GREEN,48,3,September 27 2019
1399,100,            Re,        ,MR BRIGHTSIDE,KILLERS,MERCURY,10,220,September 20 2019
1400,1,            1,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,8,September 20 2019
1401,2,            New,        ,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY,POLYDOR/RCA/REPUBLIC RECORDS,2,1,September 20 2019
1402,3,            2,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,7,September 20 2019
1403,4,            3,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,12,September 20 2019
1404,5,            4,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,4,29,September 20 2019
1405,6,            6,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,11,September 20 2019
1406,7,            7,        ,3 NIGHTS,DOMINIC FIKE,COLUMBIA,3,20,September 20 2019
1407,8,            5,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,5,3,September 20 2019
1408,9,            8,        ,RANSOM,LIL TECCA,GALACTIC,7,14,September 20 2019
1409,10,            9,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,15,September 20 2019
1410,11,            15,        ,RIDE IT,REGARD,MINISTRY OF SOUND,11,5,September 20 2019
1411,12,            12,        ,HOW DO YOU SLEEP,SAM SMITH,CAPITOL,7,9,September 20 2019
1412,13,            13,        ,BOTH,HEADIE ONE,RELENTLESS,13,5,September 20 2019
1413,14,            19,        ,DANCE MONKEY,TONES & I,PARLOPHONE,14,7,September 20 2019
1414,15,            10,        ,GOODBYES,POST MALONE FT YOUNG THUG,REPUBLIC RECORDS,5,11,September 20 2019
1415,16,            New,        ,NOOKIE,D-BLOCK EUROPE FT LIL BABY,D-BLOCK EUROPE,16,1,September 20 2019
1416,17,            16,        ,POST MALONE,SAM FELDT FT RANI,SPINNIN',16,11,September 20 2019
1417,18,            18,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,18,5,September 20 2019
1418,19,            14,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,13,September 20 2019
1419,20,            23,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,20,14,September 20 2019
1420,21,            17,        ,MAD LOVE,MABEL,POLYDOR,8,15,September 20 2019
1421,22,            New,        ,TAKE WHAT YOU WANT,POST MALONE/OSBOURNE/SCOTT,EPIC/REPUBLIC RECORDS,22,1,September 20 2019
1422,23,            53,        ,PANINI,LIL NAS X,LIL NAS X,23,13,September 20 2019
1423,24,            New,        ,PROFESSOR X,DAVE,WARNER RECORDS,24,1,September 20 2019
1424,25,            22,        ,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE,POLYDOR/REPUBLIC RECORDS,4,7,September 20 2019
1425,26,            25,        ,HARDER,JAX JONES & BEBE REXHA,POLYDOR,23,10,September 20 2019
1426,27,            24,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,12,September 20 2019
1427,28,            27,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,38,September 20 2019
1428,29,            26,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,14,September 20 2019
1429,30,            29,        ,TRUTH HURTS,LIZZO,ATLANTIC,29,21,September 20 2019
1430,31,            20,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,2,September 20 2019
1431,32,            34,        ,MOTIVATION,NORMANI,KEEP COOL,30,5,September 20 2019
1432,33,            30,        ,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,ASYLUM/DEF JAM,1,18,September 20 2019
1433,34,            33,        ,F**K I'M LONELY,LAUV & ANNE-MARIE,LAUV,32,7,September 20 2019
1434,35,            21,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,21,2,September 20 2019
1435,36,            28,        ,RITUAL,TIESTO/JONAS BLUE/RITA ORA,VIRGIN,24,16,September 20 2019
